"ID","Date","Location","Tweet","Quoted Tweet Text",,,
"1222669620957499392","2020-01-29 23:55:28","Salt Lake City, UT","@yonterrr Now you’re getting it!! Corona virus where you @",,,,
"1222669603337228288","2020-01-29 23:55:24","Sunnyvale, CA","i’m finna renegade my way out of this corona virus",,,,
"1222669597037322241","2020-01-29 23:55:22","Phoenix, AZ","- Worldwide deaths from corona virus: 132
- 2020 US deaths from the regular Flu: 8000+
 
- 2020 US deaths from guns 444.
 This #coronaravirus hype is not adding up.",,,,
"1222669573121617922","2020-01-29 23:55:16","Ohio, USA","Corona virus 🦠 update https://t.co/b2sKz618Hi","The 195 Americans who were evacuated from the Chinese city at the center of a virus outbreak will undergo three days of tests and monitoring at a Southern California military base to make sure they don't show signs of the virus, health officials say. https://t.co/dWJ9taBWMQ",,,
"1222669559213150209","2020-01-29 23:55:13","Meridian, ID","@stillgray A pandemic is my worse nightmare.",,,,
"1222669544893927429","2020-01-29 23:55:10","North Carolina, USA","And it was an awesome short film and really got me hyped. We are definitely going to get tickets. Hopefully we don’t die from Corona Virus between now and then https://t.co/K5dgf4vdNx","#MCRXX how fucking extra are my chemical romance man.
A 15 minute short film just to announce a US tour https://t.co/rIcSIZSn4J",,,
"1222669525000175617","2020-01-29 23:55:05","Pacifica, CA","@PotatoGame @azeen @dvergano It’s a coronavirus it’s a weaker virus compare to the influenza. Don’t worry you and me most likely dealt with a couple of corona viruses already",,,,
"1222669487431766016","2020-01-29 23:54:56","東京","The new age of global pandemic risk https://t.co/i50HKT4Ryk",,,,
"1222669471157932032","2020-01-29 23:54:52","melbourne australia","How Viral Pandemic Benefits The Globalist Agenda | Zero Hedge https://t.co/4yM6xrJJGn",,,,
"1222669441189777415","2020-01-29 23:54:45","England, United Kingdom","@eugenekrabzz Stay away from me Krabs, corona looking-ass",,,,
"1222669391747276802","2020-01-29 23:54:33","North Carolina, USA","@LPLzone It scares the shit out of me.  It’s a pandemic of massive proportions.",,,,
"1222669350949326848","2020-01-29 23:54:24","Michigan, USA","YOU NEED TO STOP EATING *THIS RIGHT NOW(!)NOVEL CORONA-VIRUS FOUND IN HI... https://t.co/wVJxd1TwUb via @YouTube",,,,
"1222669336621539333","2020-01-29 23:54:20","denton","@GoDzPlayer01 Did u say corona? WE ARE GOOD!!!",,,,
"1222669335904358401","2020-01-29 23:54:20","Bedfordshire, UK","THE CORONA VIRUS IS IN JAMAICA https://t.co/aNO8lK7gjR via @YouTube @coronavirus @sars #coronavirus #epidemic #blackplague",,,,
"1222669285639761921","2020-01-29 23:54:08","Houston, Texas, USA ","😁😂 damn Corona 😂 https://t.co/YatSAmKRM6",,,,
"1222669278375301125","2020-01-29 23:54:06","Michigan, USA","@MWellerFX Markets heard repo and said corona-what?",,,,
"1222669186717102081","2020-01-29 23:53:44","Edinburgh, Scotland","@BobSteele55 @BillyKsOpinion Corona Beer is the AIDS Slimming Chocolates of this era",,,,
"1222669182447374336","2020-01-29 23:53:43","Vancouver, British Columbia","Check out our website for some cool merch... Corona not included 😜
•
•
•
1222669147475042305,2020-01-29 23:53:35,""Seattle, WA","Siri, is this the corona virus https://t.co/CW7PFyccab",,,
"1222669144614522880","2020-01-29 23:53:34","Pasig City, National Capital R","China, the corona land 🤣🤣🤣 https://t.co/pJUNL5BeyR",,,,
"1222669111269871616","2020-01-29 23:53:26","San Diego, CA","@l0ranus Y’all hot bp in corona virus",,,,
