"ID","Date","Location","Tweet","Quoted Tweet Text",,
"1221945651543650304","2020-01-27 23:58:40","Nueva York, USA","Cuánto costará la vacuna del Coronavirus? 
1221945610204536832,2020-01-27 23:58:30,""Puebla, México.","#Nacionales #Salud descarta casos sospechosos de #coronavirus en las últimas 24 horas
Más información:👇
https://t.co/CMfWrcSFeg https://t.co/v5xFG3oPly",,
"1221945595750952961","2020-01-27 23:58:27","Maldonado, Uruguay","@agostinaaznar @ludmimodestinii Si te muerde puede pasar, muchos tienen rabia y otras enfermedades, pero me refería a que no te vas a morir por el coronavirus si medio te funciona el sistema inmunológico (acá fue cuando me di cuenta que estoy jodida)",,,
"1221945576717193217","2020-01-27 23:58:22","México","@taexvincent Dejando de lado que tienes razón con lo de no ser xenófobos, no han muerto ni 5 personas por el coronavirus xd",,,
"1221945568542568451","2020-01-27 23:58:20","Mexico","J&amp","J “bastante confiado” en crear una vacuna para el coronavirus en un año https://t.co/QCcMCZhqeh",,
"1221945559822417926","2020-01-27 23:58:18","Xalapa, Veracruz de Ignacio de la Llave","...cuando menos lo esperas, TODOS están enfermos... y muriendo...
1221945548254654468,2020-01-27 23:58:16,""Montevideo, Uruguay","Sigue el brote de coronavirus en tiempo real con este mapa interactivo https://t.co/wcRDjhjtKi",,
"1221945548048986113","2020-01-27 23:58:15","Latinoamérica","VIDEO: Wuhan se convierte en una ciudad fantasma tras el cierre por el coronavirus - RT https://t.co/AJkb5kx1Qf",,,
"1221945520089812992","2020-01-27 23:58:09","Las Vegas, NV","Países planean evacuar a ciudadanos en China por coronavirus https://t.co/GHn6OjD4gA",,,
"1221945518164758531","2020-01-27 23:58:08","Panamá","#ÚLTIMAHORA | Confirman el primer caso de coronavirus en Alemania. https://t.co/ZZyQ3DI6et",,,
"1221945510216507392","2020-01-27 23:58:06","Granada, España","Joder macho no paro de moquear, las señoras chinas que nos han abrazado hoy me han pegado el coronavirus fijo",,,
"1221945508408766466","2020-01-27 23:58:06","Sagunto, España","Que me mate ya el coronavirus 0 miedo",,,
"1221945496878637057","2020-01-27 23:58:03","Sancti Spíritus, Cuba","En #Cuba no se ha notificado ningún caso de #coronavirus, ni siquiera sospechoso que guarde relación epidemiológica con lo que está sucediendo  https://t.co/fEIBeYXuSQ",,,
"1221945484497096704","2020-01-27 23:58:00","Lincoln, NE","Primer caso de Coronavirus en Alemania, segundo país europeo en presentar un caso. https://t.co/3GmKD005rT","BREAKING: Germany reports first case of coronavirus https://t.co/XQhLD5wMuG",,
"1221945483901521922","2020-01-27 23:58:00","Venezuela","Contabilizaron 80 muertos por coronavirus en China y al menos 769 nuevos casos https://t.co/HaswaQEOwq                   -",,,
"1221945481976336384","2020-01-27 23:58:00","Perú","[ #Tecnología ] Google Maps te avisa en tiempo real el avance del Coronavirus a nivel mundial https://t.co/vVE94Ztwcw vía @Federación de Periodistas del Perú",,,
"1221945459863965697","2020-01-27 23:57:54","lima- perú","Señores, a las 7 pm (dentro de 5 min) en RPP radio conversamos con el Dr. George Díaz, jefe del programa de enfermedades infecciosas en el Centro Médico Regional Providencia del estado de Washington. Él descubrió el primer caso confirmado de coronavirus en EEUU.",,,
"1221945440574353416","2020-01-27 23:57:50","Ecuador","Protección ante Coronavirus! 
Pilas! https://t.co/oCkJnca82z",,,
"1221945415152685058","2020-01-27 23:57:44","Spain, Andalusia, Málaga.","Los ángeles blancos que arriesgan su vida para salvar a los infectados por el coronavirus https://t.co/ylrSh5fojv vía @el_pais",,,
"1221945414062088194","2020-01-27 23:57:44","San José, Costa Rica","Confirman primer caso de coronavirus en Alemania https://t.co/OM9oyW1kae",,,
